Year,annual_average,deseasonalized_annual_average,std_of_months,CO2_Category
1974,329.76374999999996,330.34625,2.2037885398947386,Low
1975,331.1609090909091,331.07272727272726,1.943751293481014,Low
1976,332.0266666666667,332.02833333333336,2.085610149805024,Low
1977,333.8433333333333,333.84166666666664,1.9318824231742817,Low
1978,335.415,335.41333333333336,1.9950142400949842,Low
1979,336.83583333333337,336.8358333333333,1.8376390897677304,Low
1980,338.7625,338.765,1.871271444281093,Low
1981,340.1191666666667,340.12,2.1059891147665453,Low
1982,341.4791666666667,341.4766666666667,2.1513862690804566,Low
1983,343.1525,343.1525,1.9360931842713118,Low
1984,344.63909090909095,344.87454545454545,1.963519567233548,Low
1985,346.3516666666667,346.35083333333336,1.996983330987622,Low
1986,347.60833333333335,347.60833333333335,1.8343581157913846,Low
1987,349.3125,349.31333333333333,1.800429872911662,Low
1988,351.69083333333333,351.69083333333333,1.7808601513841171,Moderate
1989,353.205,353.205,1.9785692718821772,Moderate
1990,354.4533333333333,354.45166666666665,1.8923786538896035,Moderate
1991,355.70416666666665,355.7033333333334,2.3433133431622943,Moderate
1992,356.5441666666666,356.54583333333335,2.3044323234439723,Moderate
1993,357.21583333333336,357.21416666666664,2.033597163708315,Moderate
1994,358.9591666666667,358.96000000000004,1.9166564558357813,Moderate
1995,360.9683333333333,360.9666666666667,1.953671756803922,Moderate
1996,362.74333333333334,362.74333333333334,1.9606693353098,Moderate
1997,363.8775,363.8766666666666,2.0085776287983026,Moderate
1998,366.84,366.83916666666664,1.790520493142587,Moderate
1999,368.53999999999996,368.5408333333333,2.0803496209662766,Moderate
2000,369.70666666666665,369.7075,1.6954341537485378,Moderate
2001,371.31916666666666,371.3183333333333,1.8937718895624533,Moderate
2002,373.45250000000004,373.45250000000004,1.7354073401837504,Moderate
2003,375.98333333333335,375.98333333333335,1.8408364370249823,Moderate
2004,377.6983333333333,377.6975,2.1100617540869666,Moderate
2005,379.98333333333335,379.9825,1.9879150033656177,Moderate
2006,382.09083333333336,382.08916666666664,2.027064417209059,Moderate
2007,384.02500000000003,384.02416666666664,1.9585871531192258,Moderate
2008,385.8308333333334,385.83,1.7452088092485631,Moderate
2009,387.6433333333334,387.6433333333334,1.8766427147403197,Moderate
2010,390.1016666666667,390.1016666666667,2.027290324696018,Moderate
2011,391.85083333333336,391.85083333333336,1.7379583546288557,Moderate
2012,394.05583333333334,394.05583333333334,1.8237745989783838,Moderate
2013,396.7375,396.7383333333333,1.9562307216592751,Moderate
2014,398.87083333333334,398.86999999999995,2.0620927513454523,Moderate
2015,401.0125,401.0125,1.9679067097252838,High
2016,404.41249999999997,404.4141666666667,2.2087187771112036,High
2017,406.7575,406.7575,2.0309430187611226,High
2018,408.715,408.715,1.7877182002867242,High
2019,411.6541666666667,411.6558333333333,1.9409625462796911,High
2020,414.2383333333333,414.23583333333335,1.8809467313192452,High
2021,416.4508333333333,416.45,2.025027309954235,High
